Season,Episode Number,Number in Season,Episode Name,Director,Writer,Original Air Date,US viewers (million),Runtime (mins),IMDB Description,IMDB votes,Imdb Rating,Notable Death Count
4,38,8,The Mountain and the Viper,Alex Graves,David Benioff & D. B. Weiss,"June 1, 2014",7.17,52,"Theon helps Ramsay seize Moat Cailin. The wildlings attack Mole's Town. Sansa comes up with a story to protect Lord Baelish. Daenerys finds out a secret about Jorah Mormont. Oberyn Martell faces Gregor Clegane, the Mountain.",36547,9.7,6
4,39,9,The Watchers on the Wall,Neil Marshall,David Benioff & D. B. Weiss,"June 8, 2014",6.95,51,The battle between the Night's Watch and the wildlings has come.,30073,9.6,10
4,40,10,The Children,Alex Graves,David Benioff & D. B. Weiss,"June 15, 2014",7.09,65,"Jon makes an important decision. Daenerys experiences new consequences. Brienne and Podrick have an unexpected encounter. Bran achieves a goal, while Tyrion makes an important discovery.",29933,9.7,4
5,41,1,The Wars to Come,Michael Slovis,David Benioff & D. B. Weiss,"April 12, 2015",8,53,"Cersei and Jaime adjust to a world without Tywin. Tyrion and Varys arrive at Pentos. In Meereen, a new enemy emerges. Jon is caught between two kings.",20355,8.6,2
5,42,2,The House of Black and White,Michael Slovis,David Benioff & D. B. Weiss,"April 19, 2015",6.81,56,Arya arrives in Braavos. Jaime takes on a secret mission. Ellaria Sand seeks revenge for Oberyn's death. Stannis makes Jon a generous offer as the Night's Watch elects a new Lord Commander. Daenerys is faced with a difficult decision.,17318,8.6,3
5,43,3,High Sparrow,Mark Mylod,David Benioff & D. B. Weiss,"April 26, 2015",6.71,60,Tommen and Margaery wed. Arya has trouble adapting to her new life. Littlefinger reveals his plans to Sansa. Jon gives his first orders as Lord Commander. Tyrion and Varys arrive in Volantis.,16626,8.6,5
5,44,4,Sons of the Harpy,Mark Mylod,Dave Hill,"May 3, 2015",6.82,51,"Jorah Mormont sets sail alongside his prisoner, Tyrion. Cersei makes a move against the Tyrells. Jaime and Bronn sneak into Dorne. Ellaria and the Sand Snakes make their plans. Melisandre tempts Jon. The Harpies attack.",17239,8.8,3
5,45,5,Kill the Boy,Jeremy Podeswa,Bryan Cogman,"May 10, 2015",6.56,57,Daenerys arrests the heads of Meereen's great families. Jon makes a difficult decision. Theon is forced to face Sansa. Stannis rides south. Tyrion and Jorah enter the ruins of Old Valyria.,17450,8.7,1
5,46,6,"Unbowed, Unbent, Unbroken",Jeremy Podeswa,Bryan Cogman,"May 17, 2015",6.24,54,Arya is put to the test. Tyrion and Jorah are captured by slavers. Loras Tyrell is judged by the Sparrows. Jaime and Bronn face the Sand Snakes. Sansa marries Ramsay Bolton.,19807,8.1,1
5,47,7,The Gift,Miguel Sapochnik,David Benioff & D. B. Weiss,"May 24, 2015",5.4,59,Jon heads east as trouble begins to stir for Sam and Gilly at Castle Black. Sansa asks Theon for help. Tyrion and Jorah are sold as slaves. Cersei savors her triumph over the Tyrells as new plots are developed in the shadows.,19563,9.1,2
5,48,8,Hardhome,Miguel Sapochnik,David Benioff & D. B. Weiss,"May 31, 2015",7.01,61,Tyrion advises Daenerys. Sansa forces Theon to tell her a secret. Cersei remains stubborn. Arya meets her first target. Jon and Tormund meet with the wildling elders.,71476,9.9,4
5,49,9,The Dance of Dragons,David Nutter,David Benioff & D. B. Weiss,"June 7, 2015",7.14,52,Jon and the wildlings return to Castle Black. Jaime meets with Doran Martell. Stannis makes a hard choice. Arya runs into Meryn Trant. Daenerys attends the grand reopening of the fighting pits.,30748,9.5,2
5,50,10,Mother's Mercy,David Nutter,David Benioff & D. B. Weiss,"June 14, 2015",8.11,60,Stannis arrives at Winterfell. Tyrion runs Meereen as Daario and Jorah go after Daenerys. Jaime and Myrcella leave Dorne. Jon sends Sam and Gilly to Oldtown. Arya challenges the Many-Faced God. Cersei confesses her sins.,29845,9.1,7
6,51,1,The Red Woman,Jeremy Podeswa,David Benioff & D. B. Weiss,"April 24, 2016",7.94,50,The fate of Jon Snow is revealed. Daenerys is brought before Khal Moro. Tyrion gets used to living in Meereen. Ramsay sends his dogs after Theon and Sansa. Ellaria and the Sand Snakes make their move. Cersei mourns for Myrcella.,29145,8.6,4
